,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM
,index_price,mark_price,best_bid,best_ask,funding_rate
datetime,,,,,
2025-11-16 12:35:21,139.335,139.33,139.34300000000002,139.344,
2025-11-16 12:35:22,139.362,139.359,139.359,139.36,
2025-11-16 12:35:23,,,139.359,139.36,
2025-11-16 12:35:24,,,139.3358,139.33679999999998,
2025-11-16 12:35:25,139.342,139.336,139.308,139.309,
2025-11-16 12:35:26,139.33,139.333,139.308,139.309,
2025-11-16 12:35:27,,,139.308,139.309,
2025-11-16 12:35:28,139.326,139.32,139.2986,139.2996,
2025-11-16 12:35:29,139.298,139.298,139.329,139.33,
2025-11-16 12:35:30,139.331,139.325,139.30509999999998,139.30610000000001,
2025-11-16 12:35:31,139.321,139.326,139.305,139.30599999999998,
2025-11-16 12:35:32,139.325,139.319,139.31779999999998,139.31879999999998,
2025-11-16 12:35:33,139.329,139.323,139.325,139.326,
2025-11-16 12:35:34,,,139.3192,139.3202,
2025-11-16 12:35:35,139.328,139.325,139.3141,139.31509999999997,
2025-11-16 12:35:36,,,139.313,139.314,
2025-11-16 12:35:37,139.315,139.313,139.2878,139.28879999999998,
2025-11-16 12:35:38,139.29,139.295,139.285,139.286,
2025-11-16 12:35:39,139.283,139.288,139.27169999999998,139.2727,
2025-11-16 12:35:40,139.278,139.272,139.2376,139.2386,
2025-11-16 12:35:41,139.245,139.25,139.21970000000002,139.2207,
2025-11-16 12:35:42,139.222,139.216,139.2065,139.20749999999998,
2025-11-16 12:35:43,139.213,139.218,139.224,139.225,
2025-11-16 12:35:44,139.224,139.219,139.224,139.225,
2025-11-16 12:35:45,139.227,139.221,139.2265,139.2275,
2025-11-16 12:35:46,139.226,139.231,139.2782,139.2792,
2025-11-16 12:35:47,139.283,139.278,139.304,139.305,
2025-11-16 12:35:48,139.3,139.295,139.296,139.297,
2025-11-16 12:35:49,139.299,139.294,139.288,139.289,
2025-11-16 12:35:50,,,139.296,139.297,
2025-11-16 12:35:51,139.302,139.299,139.2904,139.2914,
2025-11-16 12:35:52,,,139.2807,139.2817,
2025-11-16 12:35:53,139.295,139.29,139.296,139.297,
2025-11-16 12:35:54,139.295,139.296,139.296,139.297,
